1 1.41421  0.346574 0.346574
2 1.23442  0.278586 0.346574
3 1.01925  0.19208 0.346574
4 1.52029  0.248786 0.418903
5 1.47459  0.276705 0.418903
6 1.04767  0.238349 0.418903
7 1.6027  0.271684 0.471692
8 1.70636  0.304518 0.53436
9 1.1059  0.281867 0.53436
10 1.66187  0.304475 0.53436
11 1.92042  0.336117 0.652542
12 1.21733  0.324496 0.652542
13 1.70103  0.340399 0.652542
14 2.11159  0.369473 0.74744
15 1.3953  0.367049 0.74744
16 1.72556  0.378205 0.74744
17 2.27794  0.404385 0.823271
18 1.63506  0.409235 0.823271
19 1.74142  0.416891 0.823271
20 2.4194  0.440223 0.88352
21 1.91846  0.450284 0.88352
22 1.75393  0.455356 0.88352
23 2.53615  0.476021 0.930647
24 2.22334  0.489479 0.930647
25 1.76837  0.492702 0.930647
26 2.6275  0.510907 0.966034
27 2.52962  0.526357 0.966034
28 1.79286  0.528409 0.966034
29 2.69206  0.544337 0.990307
30 2.82122  0.560765 1.03717
31 1.84202  0.562381 1.03717
32 2.72898  0.576179 1.03717
33 3.08624  0.592869 1.12695
34 1.93757  0.594886 1.12695
35 2.73982  0.606686 1.12695
36 3.31682  0.623139 1.19901
37 2.10189  0.626374 1.19901
38 2.72969  0.636317 1.19901
39 3.5093  0.652191 1.25542
40 2.34603  0.657205 1.25542
41 2.70675  0.665462 1.25542
42 3.6638  0.680534 1.2985
43 2.66216  0.687478 1.2985
44 2.68011  0.69426 1.2985
45 3.78294  0.708398 1.3305
46 3.02723  0.717078 1.3305
47 2.65764  0.722617 1.3305
48 3.86968  0.735754 1.35317
49 3.41275  0.74579 1.35317
50 2.64594  0.750335 1.35317
51 3.92561  0.762436 1.36752
52 3.79259  0.77341 1.36752
53 2.65327  0.777228 1.36752
54 3.95059  0.788277 1.37387
55 4.14627  0.799803 1.42221
56 2.69401  0.803218 1.42221
57 3.94406  0.8132 1.42221
58 4.45919  0.824955 1.49497
59 2.79075  0.828368 1.49497
60 3.90751  0.837277 1.49497
61 4.72207  0.848997 1.55225
62 2.96925  0.852857 1.55225
63 3.84656  0.860704 1.55225
64 4.93079  0.872185 1.5955
65 3.24575  0.87688 1.5955
66 3.77129  0.883706 1.5955
67 5.08618  0.894793 1.62653
68 3.61549  0.900535 1.62653
69 3.69405  0.906421 1.62653
70 5.1929  0.917005 1.64729
71 4.05276  0.923799 1.64729
72 3.62614  0.92886 1.64729
73 5.25696  0.93887 1.65955
74 4.52126  0.946571 1.65955
75 3.57626  0.950941 1.65955
76 5.28307  0.96033 1.66451
77 4.98555  0.968723 1.66451
78 3.55261  0.972555 1.66451
79 5.27324  0.981291 1.66451
80 5.41734  0.990145 1.68961
81 3.56809  0.993625 1.68961
82 5.22767  1.00168 1.68961
83 5.79671  1.01078 1.75729
84 3.64465  1.01414 1.75729
85 5.14734  1.02149 1.75729
86 6.11113  1.03066 1.81011
87 3.81133  1.03419 1.81011
88 5.03728  1.04081 1.81011
89 6.35463  1.0499 1.84918
90 4.09245  1.05389 1.84918
91 4.90813  1.05979 1.84918
92 6.52742  1.06866 1.87601
93 4.49194  1.07332 1.87601
94 4.77488  1.07854 1.87601
95 6.63517  1.0871 1.89238
96 4.98677  1.09252 1.89238
97 4.6529  1.0971 1.89238
98 6.6866  1.1053 1.90011
99 5.53503  1.11142 1.90011
100 4.55437  1.11546 1.90011
101 6.69012  1.12324 1.90063
102 6.09066  1.12994 1.90063
103 4.48854  1.13355 1.90063
104 6.65109  1.14087 1.90063
105 6.61451  1.14799 1.90063
106 4.46653  1.15128 1.90063
107 6.57148  1.15812 1.90063
108 7.07833  1.16552 1.95704
109 4.5079  1.16864 1.95704
110 6.45217  1.17496 1.95704
111 7.46417  1.18249 2.01011
112 4.64253  1.18564 2.01011
113 6.29686  1.19143 2.01011
114 7.76261  1.19895 2.04932
115 4.90244  1.20235 2.04932
116 6.11533  1.2076 2.04932
117 7.97186  1.21502 2.07592
118 5.30408  1.21886 2.07592
119 5.92377  1.22357 2.07592
120 8.09717  1.2308 2.09151
121 5.83389  1.23521 2.09151
122 5.74131  1.23941 2.09151
123 8.14896  1.24639 2.09789
124 6.44978  1.25137 2.09789
125 5.58489  1.25512 2.09789
126 8.13928  1.2618 2.09789
127 7.09641  1.26729 2.09789
128 5.46664  1.27066 2.09789
129 8.07777  1.277 2.09789
130 7.72168  1.2829 2.09789
131 5.39701  1.28598 2.09789
132 7.96958  1.29196 2.09789
133 8.28569  1.29815 2.11453
134 5.39214  1.30103 2.11453
135 7.81659  1.30663 2.11453
136 8.76218  1.31298 2.17045
137 5.47981  1.31581 2.17045
138 7.62131  1.32099 2.17045
139 9.13635  1.32741 2.21226
140 5.69652  1.33035 2.21226
141 7.39149  1.3351 2.21226
142 9.40285  1.34148 2.24101
143 6.0718  1.34472 2.24101
144 7.14267  1.34903 2.24101
145 9.56496  1.3553 2.25811
146 6.60755  1.35895 2.25811
147 6.89642  1.36284 2.25811
148 9.63328  1.36894 2.26522
149 7.26932  1.37307 2.26522
150 6.6747  1.37657 2.26522
151 9.6226  1.38244 2.26522
152 7.99728  1.38703 2.26522
153 6.49453  1.39019 2.26522
154 9.54714  1.39581 2.26522
155 8.72642  1.40079 2.26522
156 6.36785  1.40367 2.26522
157 9.41661  1.40902 2.26522
158 9.40227  1.41428 2.26522
159 6.30795  1.41697 2.26522
160 9.23551  1.42201 2.26522
161 9.98675  1.42747 2.30126
162 6.33822  1.43006 2.30126
163 9.00614  1.43477 2.30126
164 10.457  1.44033 2.34727
165 6.49521  1.44294 2.34727
166 8.73391  1.44731 2.34727
167 10.8024  1.45289 2.37977
168 6.81845  1.45567 2.37977
169 8.43203  1.45967 2.37977
170 11.0227  1.4652 2.39995
171 7.32809  1.46828 2.39995
172 8.1223  1.47192 2.39995
173 11.1267  1.47734 2.40935
174 8.00563  1.4808 2.40935
175 7.83074  1.4841 2.40935
176 11.1305  1.48936 2.40969
177 8.79481  1.49323 2.40969
178 7.58042  1.49622 2.40969
179 11.0523  1.50128 2.40969
180 9.62116  1.50552 2.40969
181 7.38748  1.50825 2.40969
182 10.9071  1.51309 2.40969
183 10.4142  1.51763 2.40969
184 7.26447  1.52016 2.40969
185 10.7039  1.52476 2.40969
186 11.1206  1.52951 2.40969
187 7.22985  1.53191 2.40969
188 10.4464  1.53624 2.40969
189 11.7058  1.54113 2.46009
190 7.31616  1.54349 2.46009
191 10.1385  1.54754 2.46009
192 12.1517  1.55249 2.49747
193 7.56738  1.55493 2.49747
194 9.79009  1.55867 2.49747
195 12.4526  1.56361 2.52193
196 8.0203  1.56626 2.52193
197 9.42083  1.56969 2.52193
198 12.6141  1.57457 2.53482
199 8.67825  1.57751 2.53482
200 9.0586  1.58064 2.53482
201 12.6513  1.5854 2.53776
202 9.49857  1.5887 2.53776
203 8.73228  1.59155 2.53776
204 12.5847  1.59616 2.53776
205 10.4047  1.5998 2.53776
206 8.46443  1.6024 2.53776
207 12.435  1.60684 2.53776
208 11.3118  1.61078 2.53776
209 8.27008  1.61318 2.53776
210 12.2166  1.61741 2.53776
211 12.1484  1.62158 2.53776
212 8.16423  1.62384 2.53776
213 11.9371  1.62786 2.53776
214 12.8647  1.63219 2.55449
215 8.17312  1.63437 2.55449
216 11.6004  1.63815 2.55449
217 13.4315  1.64257 2.5976
218 8.33918  1.64476 2.5976
219 11.2131  1.64829 2.5976
220 13.8359  1.65274 2.62727
221 8.71017  1.65506 2.62727
222 10.7912  1.65832 2.62727
223 14.0782  1.66274 2.64463
224 9.31254  1.66528 2.64463
225 10.3616  1.66827 2.64463
226 14.1705  1.67262 2.65116
227 10.1263  1.67545 2.65116
228 9.95693  1.67818 2.65116
229 14.1338  1.68242 2.65116
230 11.0835  1.68556 2.65116
231 9.60717  1.68806 2.65116
232 13.9926  1.69215 2.65116
233 12.0909  1.69559 2.65116
234 9.33305  1.69789 2.65116
235 13.768  1.70182 2.65116
236 13.0584  1.7055 2.65116
237 9.14939  1.70764 2.65116
238 13.4731  1.71139 2.65116
239 13.9172  1.71525 2.65116
240 9.07629  1.71729 2.65116
241 13.1141  1.72085 2.65116
242 14.623  1.72482 2.68259
243 9.15  1.72683 2.68259
244 12.696  1.73017 2.68259
245 15.1528  1.73421 2.71819
246 9.42168  1.73627 2.71819
247 12.2302  1.73938 2.71819
248 15.4999  1.74342 2.74084
249 9.93672  1.74564 2.74084
250 11.74  1.74851 2.74084
251 15.6714  1.75251 2.75184
252 10.703  1.75496 2.75184
253 11.259  1.75759 2.75184
254 15.6861  1.76151 2.75277
255 11.6729  1.76424 2.75277
256 10.8234  1.76665 2.75277
257 15.5705  1.77046 2.75277
258 12.7546  1.77346 2.75277
259 10.4618  1.77568 2.75277
