1 1.41421  0.346574 0.346574
2 1.0818  0.212601 0.346574
3 1.09779  0.172833 0.346574
4 2.12634  0.318225 0.754401
5 5.25195  0.5863 1.6586
6 12.6072  0.910962 2.53427
7 21.4289  1.21864 3.06474
8 13.9307  1.39558 3.06474
9 9.6065  1.49189 3.06474
10 15.0875  1.61409 3.06474
11 37.5043  1.79685 3.62445
12 90.6734  2.02272 4.50726
13 155.365  2.25526 5.04578
14 100.621  2.42355 5.04578
15 67.8697  2.54316 5.04578
16 102.64  2.67366 5.04578
17 255.849  2.84254 5.54459
18 631.674  3.04286 6.44837
19 1225.03  3.25696 7.11072
20 792.474  3.42787 7.11072
21 505.05  3.56105 7.11072
22 299.761  3.65841 7.11072
23 574.842  3.77562 7.11072
24 1488.69  3.9227 7.30565
25 3895.2  4.09649 8.2675
26 10195.6  4.29392 9.22971
27 26677.6  4.51236 10.1916
28 69622.3  4.74944 11.1508
29 178474  5.00264 12.0922
30 404561  5.26624 12.9106
31 408564  5.51315 12.9204
32 289024  5.73381 12.9204
33 202644  5.93034 12.9204
34 391580  6.13468 12.9204
35 1.00463e+06  6.35426 13.8201
36 2.58788e+06  6.58793 14.7663
37 6.27753e+06  6.83292 15.6525
38 1.00537e+07  7.07741 16.1235
39 6.62409e+06  7.29866 16.1235
40 4.16468e+06  7.49725 16.1235
41 6.21275e+06  7.6959 16.1235
42 1.55767e+07  7.90698 16.5613
43 3.91202e+07  8.12966 17.4821
44 8.31616e+07  8.35936 18.2363
45 6.50611e+07  8.57339 18.2363
46 4.5761e+07  8.77047 18.2363
47 3.10269e+07  8.95089 18.2363
48 6.12801e+07  9.13797 18.2363
49 1.58271e+08  9.33679 18.8798
50 4.12543e+08  9.54681 19.8379
51 1.06365e+09  9.76716 20.785
52 2.53522e+09  9.99575 21.6535
53 3.53874e+09  10.222 21.987
54 2.37515e+09  10.4325 21.987
55 1.24029e+09  10.6235 21.987
56 1.10606e+09  10.8057 21.987
57 2.56449e+09  10.9962 21.987
58 6.08795e+09  11.195 22.5296
59 9.07648e+09  11.3939 22.929
60 6.05886e+09  11.5794 22.929
61 3.75744e+09  11.751 22.929
62 5.59561e+09  11.9235 22.929
63 1.35578e+10  12.1046 23.3302
64 2.88248e+10  12.2918 24.0845
65 2.40766e+10  12.4704 24.0845
66 1.70104e+10  12.6384 24.0845
67 9.44959e+09  12.7926 24.0845
68 1.33725e+10  12.9473 24.0845
69 3.13483e+10  13.11 24.1684
70 5.93181e+10  13.2771 24.8062
71 3.83102e+10  13.4333 24.8062
72 2.51608e+10  13.5793 24.8062
73 2.17866e+10  13.7194 24.8062
74 5.02885e+10  13.867 24.8062
75 1.28867e+11  14.0232 25.582
76 3.14147e+11  14.187 26.4731
77 5.31693e+11  14.3534 26.9993
78 3.45674e+11  14.51 26.9993
79 2.25321e+11  14.6572 26.9993
80 3.35939e+11  14.8058 26.9993
81 8.45306e+11  14.962 27.463
82 2.16032e+12  15.1259 28.4013
83 5.09473e+12  15.2962 29.2592
84 6.9222e+12  15.4661 29.5658
85 4.67091e+12  15.6273 29.5658
86 2.45845e+12  15.7774 29.5658
87 2.33476e+12  15.9234 29.5658
88 5.40942e+12  16.0756 29.5658
89 1.18456e+13  16.2332 30.103
90 1.10902e+13  16.3866 30.103
91 7.84073e+12  16.5328 30.103
92 4.59614e+12  16.67 30.103
93 6.85376e+12  16.8085 30.103
94 1.60949e+13  16.9532 30.4095
95 3.03256e+13  17.1015 31.043
96 1.95612e+13  17.2422 31.043
97 1.29033e+13  17.3757 31.043
98 1.17272e+13  17.5054 31.043
99 2.73602e+13  17.6411 31.043
100 6.96853e+13  17.7835 31.875
101 1.64249e+14  17.9315 32.7324
102 2.24619e+14  18.0797 33.0454
103 1.51529e+14  18.2211 33.0454
104 8.12995e+13  18.3539 33.0454
105 8.49445e+13  18.4846 33.0454
106 1.9938e+14  18.6208 33.0454
107 4.28206e+14  18.7617 33.6906
108 3.6689e+14  18.8985 33.6906
109 2.5991e+14  19.0296 33.6906
110 1.55962e+14  19.1537 33.6906
111 2.51187e+14  19.2798 33.6906
112 6.01868e+14  19.4115 34.0311
113 1.19932e+15  19.547 34.7205
114 8.1738e+14  19.6768 34.7205
115 5.44084e+14  19.8007 34.7205
116 2.38041e+14  19.9154 34.7205
117 1.75627e+14  20.0255 34.7205
118 3.93337e+14  20.1406 34.7205
119 9.87551e+14  20.2615 34.7205
120 2.04935e+15  20.3864 35.2563
121 1.45218e+15  20.5065 35.2563
122 9.8432e+14  20.6214 35.2563
123 5.96618e+14  20.7303 35.2563
124 1.12123e+15  20.8426 35.2563
125 2.9004e+15  20.9607 35.6036
126 7.25305e+15  21.0842 36.5202
127 1.32418e+16  21.2105 37.1222
128 8.44653e+15  21.3313 37.1222
129 5.13789e+15  21.4463 37.1222
130 5.68074e+15  21.5604 37.1222
131 1.40867e+16  21.6797 37.184
132 3.583e+16  21.8042 38.1176
133 7.08998e+16  21.932 38.8
134 4.53063e+16  22.0545 38.8
135 2.72219e+16  22.1715 38.8
136 1.13526e+16  22.2803 38.8
137 9.20238e+15  22.3859 38.8
138 1.98167e+16  22.4957 38.8
139 2.04904e+16  22.604 38.8
140 1.59659e+16  22.7091 38.8
141 2.26416e+16  22.8151 38.8
142 5.72184e+16  22.9261 38.8
143 1.41096e+17  23.042 39.4882
144 2.06301e+17  23.1588 39.8681
145 1.36771e+17  23.2712 39.8681
146 6.7322e+16  23.3772 39.8681
147 3.23223e+16  23.4768 39.8681
148 5.01746e+16  23.578 39.8681
149 1.21529e+17  23.6838 39.8681
150 2.0271e+17  23.7916 39.8681
151 1.3279e+17  23.8951 39.8681
152 8.09919e+16  23.994 39.8681
153 1.14415e+17  24.0939 39.8681
154 2.91363e+17  24.1986 40.2133
155 7.53685e+17  24.3081 41.1638
156 1.7328e+18  24.4214 41.9963
157 1.79477e+18  24.5336 42.0314
158 1.27366e+18  24.6422 42.0314
159 9.92781e+17  24.7478 42.0314
160 2.08685e+18  24.8568 42.1822
161 5.42691e+18  24.9703 43.1379
162 1.41393e+19  25.0884 44.0955
163 3.50965e+19  25.2106 45.0046
164 6.21269e+19  25.3348 45.5757
165 3.99059e+19  25.4547 45.5757
166 2.47392e+19  25.5704 45.5757
167 3.16309e+19  25.6862 45.5757
168 7.96642e+19  25.806 45.8244
169 2.07492e+20  25.9301 46.7816
170 5.08192e+20  26.0581 47.6774
171 8.02625e+20  26.1872 48.1344
172 5.28397e+20  26.3123 48.1344
173 3.04187e+20  26.4329 48.1344
174 3.82138e+20  26.5533 48.1344
175 9.55034e+20  26.6776 48.3083
176 2.48459e+21  26.806 49.2644
177 6.40626e+21  26.9382 50.2116
178 1.53693e+22  27.0739 51.0867
179 2.25395e+22  27.2102 51.4696
180 1.50455e+22  27.3427 51.4696
181 8.45464e+21  27.4706 51.4696
182 1.02605e+22  27.5981 51.4696
183 2.50587e+22  27.7291 51.5755
184 6.02934e+22  27.8635 52.4535
185 9.81049e+22  27.9991 52.9403
186 6.44336e+22  28.1309 52.9403
187 4.29255e+22  28.2591 52.9403
188 6.79211e+22  28.3885 52.9403
189 1.6853e+23  28.5212 53.4814
190 4.00362e+23  28.6572 54.3467
191 6.12989e+23  28.7939 54.7726
192 4.08595e+23  28.9271 54.7726
193 2.68802e+23  29.0567 54.7726
194 4.32744e+23  29.1875 54.7726
195 1.05391e+24  29.3215 55.3146
196 2.26096e+24  29.458 56.0778
197 1.97513e+24  29.5924 56.0778
198 1.39726e+24  29.7238 56.0778
199 7.65169e+23  29.8507 56.0778
200 1.01417e+24  29.9779 56.0778
201 2.32879e+24  30.1079 56.1074
202 4.15629e+24  30.2395 56.6867
203 2.67493e+24  30.3676 56.6867
204 1.85308e+24  30.4926 56.6867
205 2.59617e+24  30.6181 56.6867
206 6.43056e+24  30.7468 57.1231
207 1.59868e+25  30.8786 58.0338
208 3.25551e+25  31.0126 58.745
209 2.26076e+25  31.1435 58.745
210 1.51338e+25  31.2713 58.745
211 7.05599e+24  31.3943 58.745
212 7.60383e+24  31.5164 58.745
213 1.87289e+25  31.6416 58.745
214 4.89127e+25  31.7702 59.1521
215 1.27797e+26  31.902 60.1125
216 3.31201e+26  32.037 61.0648
217 8.11411e+26  32.1749 61.9608
218 1.35147e+27  32.3139 62.471
219 8.81967e+26  32.4497 62.471
220 5.5406e+26  32.5821 62.471
221 8.01138e+26  32.7149 62.471
222 2.02334e+27  32.8508 62.8745
223 5.25031e+27  32.9897 63.8281
224 1.33848e+28  33.1316 64.7639
225 2.99365e+28  33.2757 65.5689
226 2.86746e+28  33.4184 65.5689
227 2.03846e+28  33.5584 65.5689
228 1.45392e+28  33.6956 65.5689
229 2.86141e+28  33.8346 65.5689
230 7.33546e+28  33.9765 66.4651
231 1.87798e+29  34.1212 67.4052
232 4.39194e+29  34.2683 68.2547
233 5.55777e+29  34.4152 68.4902
234 3.7798e+29  34.5591 68.4902
235 1.85431e+29  34.6989 68.4902
236 7.61037e+28  34.8336 68.4902
237 4.73275e+28  34.9652 68.4902
238 8.99498e+28  35.0984 68.4902
239 1.03347e+29  35.2311 68.4902
240 7.28386e+28  35.3612 68.4902
241 6.18136e+28  35.4896 68.4902
242 1.24557e+29  35.6198 68.4902
243 2.96308e+29  35.7524 68.4902
244 5.413e+29  35.8865 68.4902
245 3.46697e+29  36.0177 68.4902
246 2.33537e+29  36.1461 68.4902
247 2.7998e+29  36.2743 68.4902
248 6.81767e+29  36.405 68.6945
249 1.692e+30  36.5384 69.6035
250 3.42194e+30  36.6734 70.3078
251 2.34393e+30  36.8059 70.3078
252 1.5559e+30  36.9358 70.3078
253 6.84213e+29  37.0613 70.3078
254 5.01738e+29  37.1846 70.3078
255 1.1252e+30  37.3102 70.3078
256 2.92937e+30  37.4384 70.3078
257 7.63567e+30  37.5695 71.1104
258 1.95133e+31  37.7031 72.0486
259 4.34966e+31  37.8388 72.8502
260 4.02234e+31  37.9732 72.8502
261 2.87719e+31  38.1052 72.8502
262 2.24179e+31  38.2353 72.8502
263 4.73297e+31  38.3672 72.9347
264 1.22768e+32  38.5018 73.8879
265 3.21239e+32  38.6389 74.8497
266 8.41002e+32  38.7787 75.8121
267 2.20154e+33  38.921 76.7745
268 5.75694e+33  39.0658 77.7357
269 1.49436e+34  39.2131 78.6896
270 3.6877e+34  39.3627 79.5929
271 6.42858e+34  39.5132 80.1486
272 4.14583e+34  39.661 80.1486
273 2.61307e+34  39.806 80.1486
274 3.55361e+34  39.9511 80.1486
275 8.97365e+34  40.0984 80.4822
276 2.34778e+35  40.2482 81.444
277 6.12089e+35  40.4004 82.4022
278 1.53902e+36  40.5548 83.3242
279 3.0112e+36  40.7105 83.9954
280 1.93158e+36  40.8635 83.9954
281 1.18753e+36  41.0137 83.9954
282 5.99837e+35  41.1604 83.9954
283 9.67241e+35  41.3078 83.9954
284 2.42232e+36  41.4573 83.9954
285 4.69658e+36  41.6081 84.4399
286 2.97238e+36  41.7563 84.4399
287 1.74044e+36  41.9015 84.4399
288 9.02784e+35  42.0435 84.4399
289 1.55817e+36  42.1864 84.4399
290 3.58114e+36  42.3312 84.4399
291 3.40179e+36  42.4748 84.4399
292 2.58807e+36  42.6164 84.4399
293 3.34521e+36  42.758 84.4399
294 8.37869e+36  42.9018 85.0188
295 2.02892e+37  43.0475 85.9032
296 2.58963e+37  43.1931 86.1472
297 1.768e+37  43.3365 86.1472
298 1.14398e+37  43.4774 86.1472
299 2.07313e+37  43.6194 86.1472
300 5.3319e+37  43.7635 86.8694
301 1.24009e+38  43.9095 87.7134
302 1.32449e+38  44.0548 87.7793
303 9.39159e+37  44.198 87.7793
304 7.62085e+37  44.3395 87.7793
305 1.64968e+38  44.4827 87.9988
306 4.29209e+38  44.628 88.955
307 1.06702e+39  44.7754 89.8657
308 1.83474e+39  44.9235 90.4077
309 1.18738e+39  45.0693 90.4077
310 7.16256e+38  45.2125 90.4077
311 9.28878e+38  45.3557 90.4077
312 2.34646e+39  45.5008 90.6537
313 6.07478e+39  45.6481 91.605
314 1.40696e+40  45.7972 92.4448
315 1.52242e+40  45.9455 92.5237
316 1.07001e+40  46.0918 92.5237
317 7.67909e+39  46.2361 92.5237
318 1.51619e+40  46.3816 92.5237
319 3.92531e+40  46.5293 93.4708
320 1.0274e+41  46.679 94.433
321 2.67516e+41  46.8307 95.39
322 6.69177e+41  46.9844 96.3069
323 1.26925e+42  47.139 96.947
324 8.07021e+41  47.2914 96.947
325 4.93484e+41  47.4413 96.947
326 3.98802e+41  47.5896 96.947
327 9.21236e+41  47.7395 96.947
328 2.36076e+42  47.8914 97.5676
329 5.02322e+42  48.0447 98.3226
330 3.59e+42  48.1961 98.3226
331 2.47955e+42  48.3454 98.3226
332 2.23615e+42  48.4935 98.3226
333 5.27143e+42  48.6433 98.3709
334 1.2601e+43  48.7947 99.2423
335 1.53039e+43  48.9459 99.4367
336 1.05638e+43  49.0951 99.4367
337 7.28787e+42  49.2423 99.4367
338 1.41416e+43  49.3905 99.4367
339 3.65203e+43  49.5407 100.306
340 8.62243e+43  49.6926 101.166
341 1.01868e+44  49.844 101.332
342 7.03635e+43  49.9935 101.332
343 4.48264e+43  50.1408 101.332
344 7.83996e+43  50.2888 101.332
345 2.02096e+44  50.4387 102.017
346 5.27323e+44  50.5906 102.976
347 1.3265e+45  50.7442 103.899
348 2.57815e+45  50.8989 104.563
349 1.6469e+45  51.0513 104.563
350 1.00488e+45  51.2015 104.563
351 5.65692e+44  51.3493 104.563
352 1.05843e+45  51.4979 104.563
353 2.65228e+45  51.6483 104.592
354 4.87404e+45  51.7996 105.2
355 3.09603e+45  51.9487 105.2
356 1.79479e+45  52.0955 105.2
357 1.6509e+45  52.2412 105.2
358 3.96187e+45  52.3886 105.2
359 9.49787e+45  52.5375 105.867
360 1.17549e+46  52.6863 106.081
361 8.07091e+45  52.8331 106.081
362 5.40887e+45  52.9781 106.081
363 1.00318e+46  53.1239 106.081
364 2.5971e+46  53.2716 106.873
365 6.60154e+46  53.421 107.806
366 1.33931e+47  53.5715 108.514
367 8.80703e+46  53.7201 108.514
368 5.56107e+46  53.8666 108.514
369 2.59319e+46  54.0103 108.514
370 3.40692e+46  54.1539 108.514
371 7.90145e+46  54.299 108.514
372 1.01704e+47  54.444 108.514
373 6.91318e+46  54.5871 108.514
374 3.51148e+46  54.7278 108.514
375 3.36232e+46  54.8675 108.514
376 8.13365e+46  55.0088 108.514
377 2.06167e+47  55.1519 108.945
378 4.14766e+47  55.2961 109.644
379 2.7016e+47  55.4383 109.644
380 1.68195e+47  55.5786 109.644
381 7.04563e+46  55.7159 109.644
382 5.11706e+46  55.8516 109.644
383 1.0351e+47  55.9884 109.644
384 1.23123e+47  56.1249 109.644
385 8.51531e+46  56.2598 109.644
386 4.07063e+46  56.3921 109.644
387 2.67189e+46  56.5227 109.644
388 5.70927e+46  56.6545 109.644
389 1.4169e+47  56.7879 109.644
390 2.51876e+47  56.9222 109.644
391 1.61953e+47  57.0546 109.644
392 9.89697e+46  57.1851 109.644
393 1.24273e+47  57.3155 109.644
394 3.13225e+47  57.4476 109.644
395 7.95119e+47  57.5814 110.295
396 1.54886e+48  57.7162 110.962
397 9.84174e+47  57.8492 110.962
398 5.84602e+47  57.9802 110.962
399 3.04004e+47  58.1089 110.962
400 5.24325e+47  58.2383 110.962
401 1.22383e+48  58.3692 110.962
402 1.29053e+48  58.4996 110.962
403 9.48247e+47  58.6285 110.962
404 1.05647e+48  58.7571 110.962
405 2.56546e+48  58.8873 111.466
406 6.51007e+48  59.0191 112.397
407 1.21795e+49  59.1518 113.024
408 7.7369e+48  59.2827 113.024
409 4.47842e+48  59.4116 113.024
410 3.85534e+48  59.5396 113.024
411 9.0812e+48  59.669 113.024
412 1.99525e+49  59.7997 113.517
413 1.47595e+49  59.929 113.517
414 1.08592e+49  60.057 113.517
415 1.41766e+49  60.185 113.517
416 3.5363e+49  60.3146 114.09
417 6.97373e+49  60.4452 114.769
418 4.41571e+49  60.574 114.769
419 2.46851e+49  60.7009 114.769
420 1.04821e+49  60.8251 114.769
421 1.1989e+49  60.9491 114.769
422 1.7413e+49  61.0733 114.769
423 1.32446e+49  61.1963 114.769
424 2.04319e+49  61.3198 114.769
425 5.20385e+49  61.4449 114.769
426 1.21864e+50  61.5714 115.327
427 1.16721e+50  61.6971 115.327
428 8.87582e+49  61.8217 115.327
429 1.17277e+50  61.9463 115.327
430 2.94316e+50  62.0725 116.209
431 6.30844e+50  62.1999 116.971
432 4.25764e+50  62.3258 116.971
433 2.85078e+50  62.4501 116.971
434 3.18206e+50  62.5742 116.971
435 7.44971e+50  62.6996 117.137
436 9.32135e+50  62.825 117.362
437 6.51512e+50  62.949 117.362
438 5.85542e+50  63.0721 117.362
439 1.35537e+51  63.1967 117.736
440 2.99542e+51  63.3224 118.529
441 2.18439e+51  63.4469 118.529
442 1.60055e+51  63.5701 118.529
443 2.21788e+51  63.6935 118.529
444 5.35549e+51  63.8183 119.11
445 6.87885e+51  63.9431 119.36
446 4.79937e+51  64.0665 119.36
447 4.45036e+51  64.1893 119.36
448 1.0396e+52  64.3133 119.773
449 2.26496e+52  64.4386 120.552
450 1.57408e+52  64.5625 120.552
451 1.10331e+52  64.685 120.552
452 1.42902e+52  64.8076 120.552
453 3.36381e+52  64.9315 120.947
454 3.70599e+52  65.0551 121.044
455 2.7707e+52  65.1776 121.044
456 3.61548e+52  65.3 121.044
457 8.97053e+52  65.4239 121.928
458 1.58261e+53  65.5485 122.496
459 1.02023e+53  65.6717 122.496
460 5.10456e+52  65.7927 122.496
461 2.55459e+52  65.9118 122.496
462 4.29045e+52  66.0314 122.496
463 4.69223e+52  66.1507 122.496
464 4.26928e+52  66.2694 122.496
